code,name,shares
2327,國巨*,6551000
1326,台化,5635000
1303,南亞,5193000
2002,中鋼,4923000
6274,台燿,4825000
1815,富喬,4454000
8046,南電,3788000
3037,欣興,3671000
6191,精成科,3238000
2330,台積電,2913000
2368,金像電,2797000
2308,台達電,2625000
2345,智邦,2556000
3017,奇鋐,2290000
1802,台玻,2065000
8299,群聯,1908000
8358,金居,1826000
3665,貿聯-KY,1627848
6139,亞翔,1610000
8210,勤誠,1563000
2383,台光電,1560000
1319,東陽,1531000
2449,京元電子,1227000
3376,新日興,1017000
6805,富世達,1016000
6223,旺矽,962000
3653,健策,916000
6488,環球晶,766000
6669,緯穎,722000
3211,順達,570000
3661,世芯-KY,470000
4979,華星光,329000
3217,優群,326000
6510,精測,230000
6515,穎崴,225000
5274,信驊,174000
5269,祥碩,137000
2059,川湖,40000
3008,大立光,3000
2884,玉山金,2010
2357,華碩,2000
3583,辛耘,2000
2439,美律,2000
3711,日月光投控,2000
3045,台灣大,2000
2313,華通,1000
2317,鴻海,1000
2454,聯發科,1000
3533,嘉澤,1000
5536,聖暉*,1000
8996,高力,1000
