code,name,shares
2303,聯電,40054000
2327,國巨*,16954000
2449,京元電子,12719000
8046,南電,12637000
2317,鴻海,10727000
2330,台積電,9693000
3711,日月光投控,9536000
3037,欣興,9287000
2368,金像電,8240000
6147,頎邦,7884000
2345,智邦,6031000
2308,台達電,6024000
8358,金居,5558000
3189,景碩,5358000
2002,中鋼,5161000
3264,欣銓,4897000
2383,台光電,4425000
3665,貿聯-KY,4377848
2454,聯發科,4363000
6191,精成科,3986000
3017,奇鋐,3902000
2481,強茂,3652000
5439,高技,3130000
6274,台燿,3019000
2337,旺宏,2910000
3653,健策,2267000
6805,富世達,2099000
6223,旺矽,1886000
3376,新日興,1681000
6669,緯穎,1635000
1303,南亞,1374000
2313,華通,1343000
8210,勤誠,1117000
2404,漢唐,1091000
6510,精測,930000
3217,優群,830000
3661,世芯-KY,738000
6415,矽力*-KY,660000
8996,高力,535000
1319,東陽,509000
1590,亞德客-KY,500000
6515,穎崴,391000
5274,信驊,373000
4966,譜瑞-KY,371000
3443,創意,271000
1815,富喬,107000
7769,鴻勁,98000
5347,世界,62000
2357,華碩,16000
2439,美律,16000
4979,華星光,1000
