code,name,shares
2303,聯電,66190000
2327,國巨*,18313000
3711,日月光投控,14998000
2449,京元電子,12919000
8046,南電,12658000
2330,台積電,11657000
8150,南茂,11334000
3037,欣興,10822000
3264,欣銓,7772000
2368,金像電,7018000
2308,台達電,6572000
2345,智邦,6231000
2002,中鋼,5163000
3017,奇鋐,4925000
2383,台光電,4723000
3665,貿聯-KY,4703848
2454,聯發科,4263000
6274,台燿,4151000
2313,華通,4124000
6191,精成科,3988000
6278,台表科,3734000
2481,強茂,3654000
5439,高技,3528000
6669,緯穎,2294000
3653,健策,2267000
6223,旺矽,2169000
8358,金居,1980000
8210,勤誠,1967000
6805,富世達,1761000
3376,新日興,1741000
2357,華碩,1622000
2404,漢唐,1394000
6187,萬潤,1224000
3036,文曄,1200000
6415,矽力*-KY,1038000
4966,譜瑞-KY,1036000
8996,高力,1034000
6510,精測,930000
3217,優群,874000
1590,亞德客-KY,530000
1319,東陽,511000
6515,穎崴,442000
5274,信驊,422000
3008,大立光,329000
3533,嘉澤,260000
1815,富喬,107000
3443,創意,96000
2439,美律,18000
2317,鴻海,1000
3661,世芯-KY,1000
5347,世界,1000
6147,頎邦,1000
