code,name,shares
1303,南亞,19743000
2327,國巨*,11083000
1326,台化,9001000
2449,京元電子,7512000
3037,欣興,7410000
8046,南電,6189000
3711,日月光投控,6159000
2368,金像電,6081000
5347,世界,5845000
2330,台積電,5428000
2002,中鋼,4929000
2308,台達電,4379000
3211,順達,4086000
2345,智邦,3496000
6191,精成科,3402000
3017,奇鋐,3026000
3665,貿聯-KY,2948848
2383,台光電,2696000
3189,景碩,2657000
3264,欣銓,1990000
8358,金居,1955000
6488,環球晶,1739000
6139,亞翔,1559000
3653,健策,1518000
1319,東陽,1504000
3376,新日興,1428000
6223,旺矽,1414000
8210,勤誠,1240000
4979,華星光,1037000
6274,台燿,975000
6805,富世達,842000
6510,精測,604000
2404,漢唐,595000
8996,高力,515000
2454,聯發科,508000
3217,優群,477000
6187,萬潤,388000
5274,信驊,318000
3661,世芯-KY,275000
6515,穎崴,268000
3443,創意,267000
3324,雙鴻,160000
6669,緯穎,76000
3008,大立光,10000
2439,美律,8000
2357,華碩,8000
3583,辛耘,8000
3045,台灣大,8000
2313,華通,7000
1815,富喬,5000
