code,name,prev_shares,curr_shares,delta,status
3711,日月光投控,17439000,19529000,2090000,UP
3264,欣銓,1508000,3080000,1572000,UP
2308,台達電,6706000,7070000,364000,UP
6805,富世達,2053000,2215000,162000,UP
1590,亞德客-KY,528000,228000,-300000,DOWN
2408,南亞科,940000,1000,-939000,DOWN
2368,金像電,5000000,4000000,-1000000,DOWN
2002,中鋼,5163000,5163000,0,SAME
2303,聯電,87718000,87718000,0,SAME
2313,華通,1000,1000,0,SAME
2317,鴻海,1000,1000,0,SAME
2327,國巨*,25437000,25437000,0,SAME
2330,台積電,12134000,12134000,0,SAME
2345,智邦,6419000,6419000,0,SAME
2360,致茂,572000,572000,0,SAME
2382,廣達,1000,1000,0,SAME
2383,台光電,4863000,4863000,0,SAME
2439,美律,1000,1000,0,SAME
2449,京元電子,11295450,11295450,0,SAME
2454,聯發科,5448000,5448000,0,SAME
2481,強茂,5000,5000,0,SAME
3008,大立光,1000,1000,0,SAME
3017,奇鋐,5801000,5801000,0,SAME
3037,欣興,20210000,20210000,0,SAME
3376,新日興,1741000,1741000,0,SAME
3443,創意,1000,1000,0,SAME
3533,嘉澤,1000,1000,0,SAME
3653,健策,2375000,2375000,0,SAME
3661,世芯-KY,1000,1000,0,SAME
3665,貿聯-KY,4616848,4616848,0,SAME
4958,臻鼎-KY,1682000,1682000,0,SAME
4966,譜瑞-KY,140000,140000,0,SAME
4979,華星光,1874000,1874000,0,SAME
5274,信驊,454900,454900,0,SAME
5347,世界,1000,1000,0,SAME
6187,萬潤,1334000,1334000,0,SAME
6191,精成科,3988000,3988000,0,SAME
6223,旺矽,2443000,2443000,0,SAME
6271,同欣電,2224000,2224000,0,SAME
6274,台燿,5499000,5499000,0,SAME
6278,台表科,3250000,3250000,0,SAME
6488,環球晶,1000,1000,0,SAME
6510,精測,261000,261000,0,SAME
6515,穎崴,23000,23000,0,SAME
6669,緯穎,2708000,2708000,0,SAME
8046,南電,9519000,9519000,0,SAME
8150,南茂,1000,1000,0,SAME
8210,勤誠,2497000,2497000,0,SAME
8358,金居,1000,1000,0,SAME
8996,高力,712000,712000,0,SAME
